1	3	1	15	1	7	8	15	2	3	9.775	0	5	2013	1	0	0	0
2	5	1	48	3	7	8	15	2	3	9.775	0	5	2013	1	0	0	0
3	6	0	36	3	7	8	15	2	3	9.775	0	5	2013	0	0	0	0
1	5	0	60	3	7	15	22	3	4	11.32	2.67	5	2013	0	0	0	0
2	4	1	52	3	7	15	22	3	4	11.32	2.67	5	2013	1	0	0	0
3	3	3	49	3	7	15	22	3	4	11.32	2.6	5	2013	3	0	0	0
1	6	1	60	3	14	15	29	3	5	11.12	2.67	5	2013	1	0	0	0
2	1	0	60	3	14	15	29	3	5	11.12	2.67	5	2013	0	0	0	0
3	4	0	48	3	14	15	29	3	5	11.12	2.6	5	2013	0	0	0	0
1	0	0	60	3	15	29	44	5	7	11.12	2.67	5	2013	0	0	0	0
2	1	0	56	3	15	29	44	5	7	11.12	2.67	5	2013	0	0	0	0
3	1	0	55	3	15	29	44	5	7	11.12	2.67	5	2013	0	0	0	0
1	1	3	120	3	36	8	44	2	7	5.54	3	5	2013	0	2	0	1
2	1	0	120	3	36	8	44	2	7	5.54	3	5	2013	0	0	0	0
3	4	0	120	3	36	8	44	2	7	5.54	3	5	2013	0	0	0	0
